* Measurement data measured by REW V5.20.13
* Source: Umik-1  Gain: 18dB  , MICROPHONE, L, volume: 0.318. Timing signal peak level 0.0 dBFS, measurement signal peak level zero
* Format: 512k Log Swept Sine, 1 sweep at -6.0 dBFS using an acoustic timing reference
* Dated: Aug 1, 2026 4:07:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ZMF Blackwood right
* Measurement: Blackwood R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
229.980469 100.558 -32.1143
230.346680 100.552 -31.9120
230.712891 100.533 -31.7203
231.079102 100.512 -31.4573
231.445312 100.504 -31.1584
231.811523 100.515 -30.9613
232.177734 100.526 -30.9846
232.543945 100.508 -31.2012
232.910156 100.440 -31.4183
233.276367 100.333 -31.3832
233.642578 100.225 -30.9509
234.008789 100.160 -30.2069
234.375000 100.159 -29.4326
234.741211 100.207 -28.9125
235.107422 100.263 -28.7493
235.473633 100.295 -28.8397
235.839844 100.291 -28.9890
236.206055 100.263 -29.0488
236.572266 100.229 -28.9854
236.938477 100.202 -28.8538
237.304688 100.179 -28.7204
237.670898 100.155 -28.6023
238.037109 100.122 -28.4639
238.403320 100.084 -28.2527
238.769531 100.049 -27.9392
239.135742 100.027 -27.5410
239.501953 100.027 -27.1285
239.868164 100.048 -26.8071
240.234375 100.077 -26.6708
240.600586 100.092 -26.7358
240.966797 100.073 -26.9014
241.333008 100.015 -26.9758
241.699219 99.936 -26.7809
242.065430 99.875 -26.2849
242.431641 99.863 -25.6650
242.797852 99.897 -25.2063
243.164062 99.944 -25.0880
243.530273 99.960 -25.2437
243.896484 99.925 -25.4082
244.262695 99.858 -25.3065
244.628906 99.803 -24.8590
244.995117 99.799 -24.2597
245.361328 99.847 -23.8334
245.727539 99.905 -23.7731
246.093750 99.928 -23.9951
246.459961 99.896 -24.2148
246.826172 99.828 -24.1516
247.192383 99.769 -23.7232
247.558594 99.758 -23.1058
247.924805 99.797 -22.5984
248.291016 99.854 -22.3936
248.657227 99.891 -22.4561
249.023438 99.886 -22.5822
249.389648 99.850 -22.5579
249.755859 99.811 -22.2993
250.122070 99.796 -21.8931
250.488281 99.810 -21.5154
250.854492 99.838 -21.2936
251.220703 99.856 -21.2229
251.586914 99.853 -21.1903
251.953125 99.834 -21.0701
252.319336 99.816 -20.8174
252.685547 99.817 -20.4993
253.051758 99.838 -20.2402
253.417969 99.864 -20.1239
253.784180 99.876 -20.1275
254.150391 99.866 -20.1356
254.516602 99.839 -20.0204
254.882812 99.818 -19.7341
255.249023 99.821 -19.3519
255.615234 99.853 -19.0259
255.981445 99.898 -18.8782
256.347656 99.933 -18.9153
256.713867 99.941 -19.0271
257.080078 99.924 -19.0619
257.446289 99.898 -18.9246
257.812500 99.884 -18.6336
258.178711 99.894 -18.3002
258.544922 99.922 -18.0422
258.911133 99.953 -17.9033
259.277344 99.975 -17.8387
259.643555 99.986 -17.7672
260.009766 99.993 -17.6409
260.375977 100.006 -17.4775
260.742188 100.027 -17.3356
261.108398 100.049 -17.2578
261.474609 100.064 -17.2336
261.840820 100.068 -17.2090
262.207031 100.064 -17.1302
262.573242 100.061 -16.9822
262.939453 100.063 -16.7904
263.305664 100.073 -16.5919
263.671875 100.088 -16.4047
264.038086 100.106 -16.2251
264.404297 100.129 -16.0520
264.770508 100.158 -15.9071
265.136719 100.191 -15.8270
265.502930 100.222 -15.8293
265.869141 100.240 -15.8851
266.235352 100.244 -15.9268
266.601562 100.238 -15.8889
266.967773 100.234 -15.7532
267.333984 100.242 -15.5601
267.700195 100.262 -15.3776
268.066406 100.290 -15.2517
268.432617 100.318 -15.1812
268.798828 100.342 -15.1355
269.165039 100.366 -15.0950
269.531250 100.391 -15.0735
269.897461 100.418 -15.1029
270.263672 100.439 -15.1947
270.629883 100.446 -15.3127
270.996094 100.440 -15.3874
271.362305 100.428 -15.3624
271.728516 100.424 -15.2398
272.094727 100.437 -15.0870
272.460938 100.465 -14.9949
272.827148 100.497 -15.0164
273.193359 100.521 -15.1333
273.559570 100.530 -15.2748
273.925781 100.529 -15.3700
274.291992 100.527 -15.3962
274.658203 100.533 -15.3895
275.024414 100.546 -15.4099
275.390625 100.559 -15.4879
275.756836 100.564 -15.5980
276.123047 100.559 -15.6776
276.489258 100.551 -15.6783
276.855469 100.551 -15.6091
277.221680 100.564 -15.5339
277.587891 100.586 -15.5228
277.954102 100.604 -15.5934
278.320312 100.611 -15.6932
278.686523 100.606 -15.7411
279.052734 100.602 -15.6945
279.418945 100.610 -15.5917
279.785156 100.633 -15.5280
280.151367 100.661 -15.5781
280.517578 100.677 -15.7312
280.883789 100.673 -15.8939
281.250000 100.655 -15.9615
281.616211 100.640 -15.9024
281.982422 100.643 -15.7894
282.348633 100.661 -15.7428
282.714844 100.682 -15.8301
283.081055 100.687 -16.0101
283.447266 100.672 -16.1682
283.813477 100.647 -16.2108
284.179688 100.630 -16.1414
284.545898 100.631 -16.0538
284.912109 100.642 -16.0438
285.278320 100.650 -16.1211
285.644531 100.644 -16.2051
286.010742 100.633 -16.2071
286.376953 100.632 -16.1249
286.743164 100.650 -16.0590
287.109375 100.679 -16.1247
287.475586 100.696 -16.3375
287.841797 100.687 -16.5807
288.208008 100.656 -16.6910
288.574219 100.628 -16.5964
288.940430 100.628 -16.3943
289.306641 100.659 -16.2848
289.672852 100.695 -16.4016
290.039062 100.707 -16.6921
290.405273 100.680 -16.9539
290.771484 100.633 -16.9913
291.137695 100.601 -16.7784
291.503906 100.609 -16.4961
291.870117 100.650 -16.3901
292.236328 100.689 -16.5665
292.602539 100.693 -16.9075
292.968750 100.655 -17.1689
293.334961 100.602 -17.1656
293.701172 100.570 -16.9166
294.067383 100.582 -16.6359
294.433594 100.624 -16.5595
294.799805 100.660 -16.7597
295.166016 100.661 -17.1025
